Tn(sec) V(m/sec)
48.977882 0.008832
50.118723 0.008562
51.286138 0.008297
52.480746 0.008036
53.70318 0.007783
54.954087 0.007538
56.234133 0.007301
57.543994 0.007074
58.884366 0.006858
60.255959 0.006652
61.6595 0.006458
63.095734 0.006274
64.565423 0.006102
66.069345 0.00594
67.608298 0.005789
69.183097 0.005649
70.794578 0.005518
72.443596 0.005396
74.131024 0.005284
75.857758 0.00518
77.624712 0.005083
79.432823 0.004994
81.283052 0.004911
83.176377 0.004834
85.113804 0.004763
87.096359 0.004696
89.125094 0.004634
91.201084 0.004575
93.32543 0.00452
95.499259 0.004468
97.723722 0.004418
100 0.00437
