Tn(sec) V(m/sec)
48.977882 0.008982
50.118723 0.008642
51.286138 0.00831
52.480746 0.007989
53.70318 0.007679
54.954087 0.007383
56.234133 0.007207
57.543994 0.007068
58.884366 0.006901
60.255959 0.006708
61.6595 0.006492
63.095734 0.006256
64.565423 0.006003
66.069345 0.005739
67.608298 0.005467
69.183097 0.005334
70.794578 0.005215
72.443596 0.005108
74.131024 0.005012
75.857758 0.004927
77.624712 0.004851
79.432823 0.004783
81.283052 0.004723
83.176377 0.00467
85.113804 0.004622
87.096359 0.004578
89.125094 0.004539
91.201084 0.004503
93.32543 0.004469
95.499259 0.004438
97.723722 0.004408
100 0.004379
