  Tn(sec) V(m/sec)
47.863009 0.009206
48.977882 0.008904
50.118723 0.008604
51.286138 0.008310
52.480746 0.008024
53.703180 0.007746
54.954087 0.007478
56.234133 0.007222
57.543994 0.006979
58.884366 0.006749
60.255959 0.006532
61.659500 0.006328
63.095734 0.006139
64.565423 0.005963
66.069345 0.005800
67.608298 0.005649
69.183097 0.005511
70.794578 0.005385
72.443596 0.005269
74.131024 0.005163
75.857758 0.005067
77.624712 0.004979
79.432823 0.004899
81.283052 0.004826
83.176377 0.004759
85.113804 0.004698
87.096359 0.004641
89.125094 0.004589
91.201084 0.004540
93.325430 0.004495
95.499259 0.004452
97.723722 0.004411
100.000000 0.004372
